kode_provinsi,nama_provinsi,kode_provinsi_dagri,nama_provinsi_dagri,kode_kabupaten,nama_kabupaten,kode_kabupaten_dagri,nama_kabupaten_dagri,kode_kecamatan,nama_kecamatan,kode_kecamatan_dagri,nama_kecamatan_dagri
11,ACEH,11,ACEH,1101,KAB. SIMEULUE,1109,KAB. SIMEULUE,1101010,TEUPAH SELATAN,110907,Teupah Selatan
11,ACEH,11,ACEH,1101,KAB. SIMEULUE,1109,KAB. SIMEULUE,1101020,SIMEULUE TIMUR,110904,Simeulue Timur
11,ACEH,11,ACEH,1101,KAB. SIMEULUE,1109,KAB. SIMEULUE,1101021,TEUPAH BARAT,110903,Teupah Barat
11,ACEH,11,ACEH,1101,KAB. SIMEULUE,1109,KAB. SIMEULUE,1101022,TEUPAH TENGAH,110909,Teupah Tengah
11,ACEH,11,ACEH,1101,KAB. SIMEULUE,1109,KAB. SIMEULUE,1101030,SIMEULUE TENGAH,110901,Simeulue Tengah
11,ACEH,11,ACEH,1101,KAB. SIMEULUE,1109,KAB. SIMEULUE,1101031,TELUK DALAM,110905,Teluk Dalam
11,ACEH,11,ACEH,1101,KAB. SIMEULUE,1109,KAB. SIMEULUE,1101032,SIMEULUE CUT,110910,Simeulue Cut
11,ACEH,11,ACEH,1101,KAB. SIMEULUE,1109,KAB. SIMEULUE,1101040,SALANG,110902,Salang
11,ACEH,11,ACEH,1101,KAB. SIMEULUE,1109,KAB. SIMEULUE,1101050,SIMEULUE BARAT,110906,Simeulue Barat
11,ACEH,11,ACEH,1101,KAB. SIMEULUE,1109,KAB. SIMEULUE,1101051,ALAFAN,110908,Alafan
11,ACEH,11,ACEH,1102,KAB. ACEH SINGKIL,1110,KAB. ACEH SINGKIL,1102010,PULAU BANYAK,111001,Pulau Banyak
11,ACEH,11,ACEH,1102,KAB. ACEH SINGKIL,1110,KAB. ACEH SINGKIL,1102011,PULAU BANYAK BARAT,111016,Pulau Banyak Barat
11,ACEH,11,ACEH,1102,KAB. ACEH SINGKIL,1110,KAB. ACEH SINGKIL,1102020,SINGKIL,111004,Singkil
11,ACEH,11,ACEH,1102,KAB. ACEH SINGKIL,1110,KAB. ACEH SINGKIL,1102021,SINGKIL UTARA,111010,Singkil Utara
11,ACEH,11,ACEH,1102,KAB. ACEH SINGKIL,1110,KAB. ACEH SINGKIL,1102022,KUALA BARU,111014,Kuala Baru
11,ACEH,11,ACEH,1102,KAB. ACEH SINGKIL,1110,KAB. ACEH SINGKIL,1102030,SIMPANG KANAN,111002,Simpang Kanan
11,ACEH,11,ACEH,1102,KAB. ACEH SINGKIL,1110,KAB. ACEH SINGKIL,1102031,GUNUNG MERIAH,111006,Gunung Meriah
11,ACEH,11,ACEH,1102,KAB. ACEH SINGKIL,1110,KAB. ACEH SINGKIL,1102032,DANAU PARIS,111011,Danau Paris
11,ACEH,11,ACEH,1102,KAB. ACEH SINGKIL,1110,KAB. ACEH SINGKIL,1102033,SURO,111012,Suro Makmur
11,ACEH,11,ACEH,1102,KAB. ACEH SINGKIL,1110,KAB. ACEH SINGKIL,1102042,SINGKOHOR,111013,Singkohor
11,ACEH,11,ACEH,1102,KAB. ACEH SINGKIL,1110,KAB. ACEH SINGKIL,1102043,KOTA BAHARU,111009,Kota Baharu
11,ACEH,11,ACEH,1103,KAB. ACEH SELATAN,1101,KAB. ACEH SELATAN,1103010,TRUMON,110109,Trumon
11,ACEH,11,ACEH,1103,KAB. ACEH SELATAN,1101,KAB. ACEH SELATAN,1103011,TRUMON TIMUR,110116,Trumon Timur
